"12f4 -- 6. Buildings and dwellings, 2010-2024"

"Postal code area","2020 Dwellings in blocks of flats (RA)","2021 Dwellings in blocks of flats (RA)","2022 Dwellings in blocks of flats (RA)","2023 Dwellings in blocks of flats (RA)","2024 Dwellings in blocks of flats (RA)"
"45610  Koria (Kouvola)",391,392,391,392,393
"45700  Kuusankoski Keskus (Kouvola)",2964,2966,2964,2964,2967
"45720  Kotiharju-Puhjonmäki (Kouvola)",267,267,265,267,267
"45740  Maunuksela (Kouvola)",163,164,163,163,162
"45750  Kuusankosken Sairaala-alue (Kouvola)",80,81,79,81,81
"45810  Pilkanmaa (Kouvola)",2,3,2,2,2
"45910  Voikkaa (Kouvola)",513,513,512,509,510
"45940  Oravala (Kouvola)",0,0,0,0,0
"46110  Tuohikotti (Kouvola)",0,0,0,0,0
"46140  Vekaranjärvi (Kouvola)",62,62,63,62,62
"46230  Aro (Kouvola)",0,0,0,0,0
"46400  Kaipiainen (Kouvola)",0,0,0,0,0
"46430  Tirva-Inkerilä (Kouvola)",0,0,0,0,0
"46450  Enäjärvi (Kouvola)",0,0,0,0,0
"46530  Kannuskoski (Luumäki)",3,3,3,3,3
"46570  Saaramaa (Kouvola)",0,0,0,0,0
"46710  Sippola (Kouvola)",2,2,2,2,2
"46730  Ruotila (Kouvola)",0,0,0,0,0
"46750  Liikkala (Kouvola)",0,0,0,0,0
"46800  Myllykoski (Kouvola)",838,838,836,845,843
"46810  Ummeljoki (Kouvola)",53,53,53,53,53
"46860  Anjalankoski Keskus (Kouvola)",45,45,45,45,45
"46900  Inkeroinen (Kouvola)",774,758,757,689,677
"46910  Anjala (Kouvola)",141,138,137,137,117
"46930  Huruksela (Kotka)",0,0,0,0,0
"46950  Ahvio (Kouvola)",0,0,0,0,0
"46960  Muhniemi (Kouvola)",0,0,0,0,0
"47110  Löytty (Kouvola)",0,0,0,0,0
"47150  Raussila (Kouvola)",0,0,0,0,0
"47200  Elimäki kk (Kouvola)",211,202,201,203,202
"47260  Ratula (Kouvola)",0,0,0,0,0
"47310  Haapa-Kimola (Iitti)",0,0,0,0,0
"47350  Kimonkylä (Lapinjärvi)",0,0,0,0,0
"47400  Kausala (Iitti)",606,603,602,600,640
"47440  Sääskjärvi (Iitti)",0,0,0,0,0
"47450  Perheniemi (Iitti)",5,5,5,5,5
"47460  Hiisiö (Iitti)",0,0,0,0,0
"47490  Mankala-Hiisiö (Iitti)",0,0,0,0,0
"47520  Iitti kk (Iitti)",0,0,0,0,0
"47540  Lyöttilä (Iitti)",0,0,0,0,0
"47610  Kymentaka (Iitti)",0,0,0,0,0
"47650  Kimola (Kouvola)",2,2,2,2,2
"47710  Jaala kk (Kouvola)",2,2,1,1,1
"47760  Huhdasjärvi (Kouvola)",0,0,0,0,0
"47810  Selänpää (Kouvola)",0,0,0,0,0
"47830  Hasula (Kouvola)",0,0,0,0,0
"47850  Verla (Kouvola)",0,0,0,0,0
"47900  Vuohijärvi (Kouvola)",59,60,60,60,60
"47910  Hillosensalmi (Kouvola)",0,0,0,0,0
"48100  Kotkansaari (Kotka)",7715,7735,7728,7717,7722
"48130  Katariina (Kotka)",300,296,302,305,307
"48200  Hovinsaari (Kotka)",1208,1231,1234,1222,1238
"48210  Toukolan Sairaala-Alue (Kotka)",181,177,174,173,178
"48220  Metsola (Kotka)",301,301,301,299,296
"48230  Korela-Jylppy (Kotka)",263,263,260,262,262
"48300  Ruonala (Kotka)",12,12,12,12,12
"48310  Mussalo (Kotka)",361,361,359,360,359
"48350  Karhuvuori (Kotka)",2319,2320,2311,2281,2287
"48400  Sutela (Kotka)",245,245,245,245,245
"48410  Kaukola (Kotka)",20,20,20,20,20
"48600  Karhula (Kotka)",3148,3152,3149,3149,3153
"48700  Kyminlinna (Kotka)",835,835,847,846,846
"48710  Koivula (Kotka)",4,4,4,4,4
"48720  Kymi (Kotka)",14,14,14,14,15
"48750  Nikeli (Kotka)",14,15,14,15,14
"48770  Ristinkallio (Kotka)",184,166,166,166,165
"48800  Otsola-Mäntykangas (Kotka)",0,0,0,0,0
"48810  Rantahaka (Kotka)",4,4,4,3,0
"48900  Sunila (Kotka)",507,508,507,507,507
"48910  Suulisniemi (Kotka)",213,221,219,219,222
"48930  Tiutinen (Kotka)",9,9,9,10,10
"49200  Heinlahti (Pyhtää)",3,3,3,3,3
"49210  Huutjärvi (Pyhtää)",49,49,49,49,49
"49220  Siltakylä (Pyhtää)",73,52,52,51,52
"49240  Purolanlahti (Pyhtää)",3,3,3,3,3
"49270  Pyhtää kk (Pyhtää)",48,48,48,48,48
"49290  Vastila (Pyhtää)",0,0,0,4,4
"49300  Tavastila (Kotka)",1,1,1,1,1
"49340  Juurikorpi (Kotka)",3,3,0,0,0
"49400  Hamina Keskus (Hamina)",2068,2102,2101,2125,2138
"49410  Poitsila (Hamina)",397,400,394,399,403
"49420  Uusi-Summa (Hamina)",144,143,144,142,144
"49460  Hillo (Hamina)",436,427,429,430,430
"49480  Vanha-Summa (Hamina)",0,0,0,0,0
"49490  Neuvoton (Hamina)",0,0,0,0,0
"49510  Husula (Hamina)",244,247,246,248,249
"49520  Reitkalli (Hamina)",0,0,0,0,0
"49540  Metsäkylä (Hamina)",0,0,0,0,0
"49570  Kannusjärvi (Hamina)",0,0,0,0,0
"49610  Sivatti (Hamina)",0,0,0,0,0
"49630  Vehkajoki (Hamina)",1,0,0,0,0
"49640  Paijärvi (Hamina)",0,0,0,0,0
"49660  Pyhältö (Hamina)",6,6,6,6,6
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",18,18,18,18,18
"49720  Hurttala (Miehikkälä)",0,0,0,0,0
"49730  Muurikkala (Miehikkälä)",0,0,0,0,0
"49750  Kalliokoski (Miehikkälä)",0,0,0,0,0
"49760  Suur-Miehikkälä (Miehikkälä)",2,2,2,2,2
"49770  Salo-Miehikkälä (Miehikkälä)",0,0,0,0,0
"49780  Onkamaa (Hamina)",0,0,0,0,0
"49840  Mäntlahti (Hamina)",0,0,0,0,0
"49860  Klamila (Virolahti)",8,8,8,8,8
"49900  Virolahti Keskus (Virolahti)",58,58,50,50,50
"49930  Vaalimaa (Virolahti)",0,0,0,0,0
"49960  Ala-Pihlaja (Virolahti)",0,0,0,0,0
"49980  Ravijoki (Virolahti)",0,0,0,0,0
"50100  Mikkeli Keskus (Mikkeli)",5986,6109,6162,6269,6293
"50120  Siekkilä (Mikkeli)",619,621,619,621,620
"50130  Nuijamies (Mikkeli)",952,951,949,990,990
"50150  Tusku (Mikkeli)",319,320,319,319,320
"50160  Kattilansilta (Mikkeli)",1300,1302,1301,1293,1305
"50170  Peitsari (Mikkeli)",1337,1341,1338,1339,1340
"50180  Visulahti (Mikkeli)",0,0,0,0,0
"50190  Tuppurala (Mikkeli)",1797,1795,1820,1815,1780
"50200  Kovala (Mikkeli)",0,0,0,0,0
"50300  Rämälä (Mikkeli)",0,0,0,0,0
"50350  Norola (Mikkeli)",4,4,4,4,4
"50500  Tuukkala-Kaituenmäki (Mikkeli)",256,256,246,246,246
"50520  Moision Sairaala-alue (Mikkeli)",73,74,74,74,74
"50600  Karikko (Mikkeli)",282,284,276,277,277
"50670  Otava (Mikkeli)",82,83,83,83,84
"50700  Syysjärvi (Mikkeli)",0,0,23,23,23
"50770  Korpikoski (Mikkeli)",0,0,0,0,0
"50800  Annilanselkä (Mikkeli)",0,0,0,0,0
"50970  Ihastjärvi (Mikkeli)",432,434,430,432,433
"51130  Vanhamäki (Mikkeli)",0,0,0,0,0
"51200  Kangasniemi Keskus (Kangasniemi)",527,525,525,522,523
"51260  Tahkomäki (Kangasniemi)",0,0,0,0,0
"51270  Kutemajärvi (Kangasniemi)",0,0,0,0,0
"51310  Levä (Kangasniemi)",0,0,0,0,0
"51335  Kaihlamäki (Kangasniemi)",0,0,0,0,0
"51340  Hännilä-Särkiharju (Kangasniemi)",0,0,0,0,0
"51360  Koivula-Synsiö (Kangasniemi)",0,0,0,0,0
"51380  Synsiö (Kangasniemi)",0,0,0,0,0
"51420  Harjumaa-Pajulankylä (Mikkeli)",0,0,0,0,0
"51430  Läsäkoski (Kangasniemi)",0,0,0,0,0
"51440  Vuojalahti (Kangasniemi)",0,0,0,0,0
"51450  Pajulankylä (Mikkeli)",0,0,0,0,0
"51460  Luusniemi (Kangasniemi)",0,0,0,0,0
"51520  Hiirola (Mikkeli)",3,3,3,3,3
"51540  Kalvitsa (Mikkeli)",0,0,0,0,0
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",163,171,159,158,157
"51620  Pitkäaho (Mikkeli)",0,0,0,0,0
"51670  Nykälä (Mikkeli)",0,0,0,0,0
"51720  Rahula (Mikkeli)",0,0,0,0,0
"51740  Huuhanaho (Mikkeli)",0,0,0,0,0
"51760  Nuutilanmäki (Juva)",0,0,0,0,0
"51780  Kuosmala (Juva)",0,0,0,0,0
"51810  Maivala (Juva)",0,0,0,0,0
"51820  Hatsola (Juva)",0,0,0,0,0
"51850  Vuorenmaa (Juva)",0,0,0,0,0
"51860  Narila (Juva)",0,0,0,0,0
"51880  Koikkala (Juva)",0,0,0,0,0
"51890  Risulahti (Juva)",0,0,0,0,0
"51900  Juva Keskus (Juva)",734,727,720,697,700
"51930  Paatela (Juva)",0,0,0,0,0
"51940  Härkälä (Juva)",0,0,0,0,0
"51980  Lauteala (Juva)",3,3,3,3,3
"52100  Anttola (Mikkeli)",42,42,42,41,41
"52110  Majavesi (Mikkeli)",0,0,0,0,0
"52150  Hauhala (Mikkeli)",0,0,0,0,0
"52200  Puumala Keskus (Puumala)",181,184,184,184,183
"52230  Hurissalo (Puumala)",0,0,0,0,0
"52270  Ryhälä (Puumala)",0,0,0,0,0
"52300  Ristiina Keskus (Mikkeli)",206,206,206,207,208
"52320  Vitsiälä (Mikkeli)",4,4,4,4,4
"52330  Heimari (Mikkeli)",0,0,0,0,0
"52340  Hangastenmaa (Mikkeli)",0,0,0,0,0
"52360  Someenjärvi (Mikkeli)",0,0,0,0,0
"52420  Pellosniemi (Mikkeli)",251,251,245,226,226
"52510  Hietanen (Hirvensalmi)",0,0,0,0,0
"52520  Syväsmäki (Hirvensalmi)",0,0,0,0,0
"52550  Hirvensalmi Keskus (Hirvensalmi)",53,54,54,54,54
"52610  Tuukkalanlahti (Hirvensalmi)",0,0,0,0,0
"52620  Kuitula (Hirvensalmi)",0,0,0,0,0
"52700  Mäntyharju Keskus (Mäntyharju)",727,728,722,724,732
"52720  Karankamäki-Koirakivi (Mäntyharju)",0,0,0,0,0
"52730  Koirakivi (Mäntyharju)",0,0,0,0,0
"52740  Tuustaipale (Mäntyharju)",7,7,7,7,7
"52760  Mynttilä (Mäntyharju)",0,0,0,0,0
"52780  Kuomiokoski (Mikkeli)",0,0,0,0,0
"52830  Suomenniemi (Mikkeli)",0,0,0,0,0
"52850  Halmeniemi (Mäntyharju)",0,0,0,0,0
"52890  Käävänkylä (Mäntyharju)",0,0,0,0,0
"52920  Voikoski (Kouvola)",0,0,0,0,0
"52960  Nurmaa (Mäntyharju)",0,0,0,0,0
"52970  Pankalahti-Ahvenainen (Mäntyharju)",0,0,0,0,0
"52980  Ahvenainen (Mäntyharju)",0,0,0,0,0
"53100  Lappeenranta keskus (Lappeenranta)",6752,6830,6970,7123,7116
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",435,435,435,433,436
"53200  Kaukas-Tirilä (Lappeenranta)",695,695,695,693,695
"53300  Lauritsala-Mälkiä (Lappeenranta)",1831,1829,1825,1822,1828
"53400  Laihia (Lappeenranta)",10,10,10,10,10
"53420  Mustola (Lappeenranta)",0,0,0,0,0
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",470,470,468,468,467
"53550  Kourulanmäki (Lappeenranta)",76,76,76,76,76
"53600  Kesämäki (Lappeenranta)",1551,1565,1575,1579,1583
"53650  Mattila-Kuusela (Lappeenranta)",284,285,285,284,285
"53810  Kuusimäki-Lavola (Lappeenranta)",1761,1764,1721,1728,1727
"53830  Rutola (Lappeenranta)",0,0,0,0,0
"53850  Skinnarila (Taipalsaari)",3673,3642,3644,3646,3648
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",2168,2274,2358,2517,2517
"53920  Voisalmi (Lappeenranta)",1653,1653,1650,1646,1650
"53950  Kivisalmi (Lappeenranta)",754,753,754,746,755
"54100  Joutseno Keskus (Lappeenranta)",690,684,682,681,684
"54110  Lampikangas (Lappeenranta)",63,63,63,60,63
"54120  Pulp (Lappeenranta)",192,192,185,188,193
"54190  Konnunsuo (Lappeenranta)",32,32,32,29,29
"54230  Nuijamaa (Lappeenranta)",2,2,2,2,2
"54250  Rapattila (Lappeenranta)",0,0,0,0,0
"54260  Hanhijärvi (Lappeenranta)",0,0,0,0,0
"54270  Vainikkala (Lappeenranta)",24,24,24,6,6
"54300  Vilkjärvi (Lappeenranta)",0,0,0,0,0
"54310  Hytti (Lappeenranta)",0,0,0,0,0
"54330  Simola (Lappeenranta)",10,10,10,10,10
"54390  Pulsa (Lappeenranta)",0,0,0,0,0
"54410  Ylämaa Keskus (Lappeenranta)",5,5,5,5,5
"54430  Hujakkala (Lappeenranta)",0,0,0,0,0
"54460  Ylijärvi (Lappeenranta)",0,0,0,0,0
"54490  Ahomäki (Miehikkälä)",19,19,19,19,19
"54500  Taavetti-Somerharju (Luumäki)",380,381,379,362,366
"54510  Uro (Luumäki)",2,2,2,2,2
"54530  Luumäki (Luumäki)",0,0,0,0,0
"54550  Suo-Anttila (Luumäki)",0,0,0,0,0
"54580  Somerharju (Luumäki)",0,0,0,0,0
"54590  Kaitjärvi (Luumäki)",0,0,0,0,0
"54710  Lemi Keskus (Lemi)",35,32,32,32,32
"54720  Laksiainen (Lemi)",0,0,0,0,0
"54750  Välijoki (Savitaipale)",0,0,0,0,0
"54770  Heituinlahti (Savitaipale)",0,0,0,0,0
"54800  Savitaipale Keskus (Savitaipale)",195,193,193,190,194
"54820  Kotimäki (Lemi)",8,8,8,8,8
"54850  Kuukanniemi (Lemi)",0,0,0,0,0
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",48,48,48,48,48
"54920  Taipalsaari (Taipalsaari)",35,35,35,35,35
"54930  Levänen (Taipalsaari)",3,3,3,3,3
"54940  Solkei (Taipalsaari)",0,0,0,0,0
"54950  Pettilä (Savitaipale)",0,0,0,0,0
"54960  Vehkataipale (Taipalsaari)",0,0,0,0,0
"55100  Imatra Keskus (Imatra)",2619,2604,2590,2406,2403
"55120  Mansikkala-Tuulikallio (Imatra)",1346,1343,1342,1343,1341
"55300  Rauha-Tiuruniemi (Lappeenranta)",136,136,136,136,136
"55320  Rauha (Lappeenranta)",106,106,106,106,106
"55330  Tiuruniemi (Lappeenranta)",24,24,24,24,24
"55400  Tainionkoski-Mustalampi (Imatra)",112,111,112,111,111
"55420  Karhumäki-Karhukallio (Imatra)",41,41,41,40,40
"55510  Sotkulampi-Linnasuo (Imatra)",743,742,700,700,708
"55610  Rajapatsas-Teppanala (Imatra)",829,831,827,836,836
"55700  Vintteri-Virasoja (Imatra)",14,14,14,14,14
"55800  Vuoksenniska-Saarlampi (Imatra)",1433,1395,1388,1383,1389
"55910  Rautio-Kurkvuori (Imatra)",177,178,177,177,179
"56100  Ruokolahti Keskus (Ruokolahti)",341,341,341,341,341
"56120  Salosaari (Ruokolahti)",0,0,0,0,0
"56140  Äitsaari (Ruokolahti)",0,0,0,0,0
"56210  Virmutjoki (Ruokolahti)",0,0,0,0,0
"56310  Syyspohja (Ruokolahti)",0,0,0,0,0
"56330  Utula (Ruokolahti)",0,0,0,0,0
"56350  Kyläniemi (Taipalsaari)",0,0,0,0,0
"56410  Kaiturinpää (Ruokolahti)",0,0,0,0,0
"56440  Pohja-Lankila (Ruokolahti)",0,0,0,0,0
"56510  Puntala (Ruokolahti)",0,0,0,0,0
"56550  Niska-Pietilä (Rautjärvi)",3,3,3,3,3
"56610  Rautjärvi (Rautjärvi)",2,1,1,1,1
"56640  Purnujärvi (Rautjärvi)",0,0,0,0,0
"56710  Miettilä (Rautjärvi)",0,0,0,0,0
"56730  Laikko (Rautjärvi)",1,1,1,1,1
"56800  Simpele (Rautjärvi)",347,336,336,336,339
"57100  Heikinpohja-Piispanmäki (Savonlinna)",2928,2933,2931,2930,2963
"57120  Savonlinna (Savonlinna)",13,13,13,12,13
"57130  Savonlinna Keskus (Savonlinna)",1507,1511,1506,1474,1530
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",1368,1364,1369,1367,1325
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",692,697,662,646,646
"57210  Nojanmaa (Savonlinna)",438,438,438,437,437
"57220  Savonlinna (Savonlinna)",1125,1097,1093,1094,1096
"57230  Inkerinkylä (Savonlinna)",3,3,3,3,3
"57310  Savonlinna (Savonlinna)",0,0,0,0,0
"57510  Laitaatsilta (Savonlinna)",31,31,31,31,31
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",90,90,87,86,87
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",143,134,133,132,137
"57810  Savonlinna (Savonlinna)",13,13,13,13,13
"58130  Oravi (Savonlinna)",0,0,0,0,0
"58140  Ahvensalmi (Savonlinna)",0,0,0,0,0
"58150  Makkola (Savonlinna)",0,0,0,0,0
"58160  Karvila (Enonkoski)",0,0,0,0,0
"58170  Simanala (Enonkoski)",0,0,0,0,0
"58175  Enonkoski Keskus (Enonkoski)",20,20,20,20,20
"58180  Ihamaniemi (Enonkoski)",0,0,0,0,0
"58200  Kerimäki Keskus (Savonlinna)",145,146,146,143,144
"58220  Louhi (Savonlinna)",9,9,9,9,9
"58260  Kumpuranta (Savonlinna)",0,0,0,0,0
"58300  Savonranta Keskus (Savonlinna)",31,31,31,17,17
"58320  Raikuu (Savonlinna)",0,0,0,0,0
"58350  Villala (Kitee)",0,0,0,0,0
"58360  Säimen (Savonlinna)",0,0,0,0,0
"58390  Rönkönvaara (Savonlinna)",0,0,0,0,0
"58410  Haapakallio (Savonlinna)",10,10,10,10,10
"58420  Silvola (Savonlinna)",0,0,0,0,0
"58430  Kulennoinen (Savonlinna)",0,0,0,0,0
"58450  Punkaharju (Savonlinna)",12,12,12,8,12
"58500  Punkasalmi (Savonlinna)",221,219,217,221,221
"58520  Hiukkajoki (Savonlinna)",4,4,4,4,4
"58550  Putikko (Savonlinna)",14,14,14,14,14
"58570  Ruhvana (Savonlinna)",0,0,0,0,0
"58580  Vuoriniemi (Savonlinna)",0,0,0,0,0
"58610  Telakanava (Sulkava)",0,0,0,0,0
"58620  Lohilahti (Sulkava)",5,5,5,5,5
"58650  Kiviapaja (Savonlinna)",0,0,0,0,0
"58680  Piojärvi (Savonlinna)",0,0,0,0,0
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",0,0,0,0,0
"58700  Sulkava Keskus (Sulkava)",71,72,72,73,74
"58720  Kaartilankoski (Sulkava)",0,0,0,0,0
"58770  Pihlajalahti (Savonlinna)",0,0,0,0,0
"58810  Kallislahti (Savonlinna)",1,1,1,1,1
"58830  Parkumäki (Rantasalmi)",0,0,0,0,0
"58850  Hiltula (Rantasalmi)",3,3,3,3,3
"58900  Rantasalmi Keskus (Rantasalmi)",354,350,347,344,348
"58910  Rantasalmi Asemanseutu (Rantasalmi)",0,0,0,0,0
"58920  Kolkontaipale (Rantasalmi)",0,0,0,0,0
"58940  Tuusmäki (Rantasalmi)",0,0,0,0,0
"59100  Parikkala Keskus (Parikkala)",373,373,373,375,374
"59130  Koitsanlahti (Parikkala)",0,0,0,0,0
"59210  Melkoniemi (Parikkala)",0,0,0,0,0
"59310  Särkisalmi (Parikkala)",28,28,28,27,28
"59320  Haapaoja (Parikkala)",0,0,0,0,0
"59410  Kirjavala (Parikkala)",2,2,2,2,2
"59510  Maironiemi (Parikkala)",6,6,6,6,6
"59520  Saari (Parikkala)",8,8,8,8,8
"59530  Mikkolanniemi (Parikkala)",0,0,0,0,0
"59610  Tarnala (Parikkala)",0,0,0,0,0
"59710  Kummunkylä (Parikkala)",0,0,0,0,0
"59720  Niukkala (Parikkala)",0,0,0,0,0
"59730  Uukuniemi (Parikkala)",2,2,2,2,2
"59800  Kesälahti Keskus (Kitee)",95,46,36,44,45
"59810  Suurikylä (Kitee)",0,0,0,0,0
"59820  Purujärvi-Rajavaara (Kitee)",0,0,0,0,0
"60100  Seinäjoki Keskus (Seinäjoki)",6946,7032,7240,7345,7423
"60120  Pohja (Seinäjoki)",773,796,796,812,821
"60150  Kasperi (Seinäjoki)",1250,1246,1201,1203,1214
"60200  Törnävä (Seinäjoki)",1601,1634,1687,1672,1666
"60220  Huhtala (Seinäjoki)",802,801,802,853,857
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",24,24,24,24,24
"60320  Alakylä-Jouppi (Seinäjoki)",1123,1133,1131,1130,1131
"60420  Impivaara (Seinäjoki)",6,6,6,6,6
"60450  Munakka (Ilmajoki)",0,0,0,0,0
"60510  Hyllykallio (Seinäjoki)",615,615,615,635,635
"60550  Nurmo Keskus (Seinäjoki)",206,188,187,188,188
"60560  Halkosaari (Seinäjoki)",0,0,0,0,0
"60640  Kurjenneva (Seinäjoki)",0,0,0,0,0
"60720  Tuomikylä (Ilmajoki)",0,0,0,0,0
"60760  Pojanluoma (Ilmajoki)",0,0,0,0,0
"60800  Ilmajoki Keskus (Ilmajoki)",320,322,323,322,323
"61100  Peräseinäjoki Keskus (Seinäjoki)",127,127,127,127,127
"61110  Vuolle (Seinäjoki)",0,0,0,0,0
"61120  Louko (Seinäjoki)",0,0,0,0,0
"61140  Pasto (Seinäjoki)",0,0,0,0,0
"61150  Sydänmaa (Alavus)",0,0,0,0,0
"61160  Koura (Seinäjoki)",2,2,2,2,2
"61170  Sääskiniemi (Alavus)",0,0,0,0,0
"61180  Haapaluoma (Seinäjoki)",3,3,3,3,3
"61220  Myllysalo (Kurikka)",0,0,0,0,0
"61230  Luopa (Kurikka)",0,0,0,0,0
"61250  Jalasto (Kurikka)",7,7,7,7,7
"61270  Luopajärvi (Kurikka)",0,0,0,0,0
"61280  Jokipii (Kurikka)",11,11,7,7,8
"61290  Taivalmaa (Kurikka)",0,0,0,0,0
"61300  Kurikka Keskus (Kurikka)",559,561,561,555,591
"61310  Panttila (Kurikka)",9,9,9,9,9
"61330  Koskenkorva (Ilmajoki)",84,84,76,76,76
"61340  Nopankylä (Ilmajoki)",0,0,0,0,0
"61350  Huissi (Ilmajoki)",0,0,0,0,0
"61360  Mieto (Kurikka)",11,11,11,8,8
"61370  Lohiluoma (Kurikka)",0,0,0,0,0
"61380  Polvenkylä (Kurikka)",0,0,0,0,0
"61400  Ylistaro Keskus (Seinäjoki)",10,10,10,10,10
"61410  Ylistaro Asemanseutu (Seinäjoki)",0,0,0,0,0
"61430  Isorehto (Seinäjoki)",0,0,0,0,0
"61440  Untamala (Seinäjoki)",4,4,4,4,4
"61450  Kylänpää (Seinäjoki)",0,0,0,0,0
"61460  Hanhikoski (Seinäjoki)",0,0,0,0,0
"61470  Kitinoja (Seinäjoki)",0,0,0,0,0
"61500  Isokyrö Keskus (Isokyrö)",167,167,167,169,170
"61520  Lehmäjoki (Isokyrö)",0,0,0,0,0
"61550  Orismala (Isokyrö)",5,5,5,0,0
"61560  Orisberg (Isokyrö)",0,0,0,0,0
"61600  Jalasjärvi Keskus (Kurikka)",322,354,355,358,357
"61630  Hirvijärvi (Kurikka)",0,0,0,0,0
"61640  Ala-Valli (Kurikka)",0,0,0,0,0
"61650  Kalakoski (Seinäjoki)",0,0,0,0,0
"61680  Mantila (Kurikka)",11,11,11,11,11
"61710  Pentinmäki (Kurikka)",0,0,0,0,0
"61720  Koskue (Kurikka)",10,13,13,13,13
"61730  Yli-Valli (Kurikka)",0,0,0,0,0
"61760  Ilvesjoki (Kurikka)",0,0,0,0,0
"61800  Kauhajoki Keskus (Kauhajoki)",499,488,484,488,492
"61810  Luomankylä (Kauhajoki)",0,0,0,0,0
"61820  Kainasto (Kauhajoki)",0,0,0,0,0
"61840  Norinkylä (Teuva)",0,0,0,0,0
"61850  Kauhajoki Asemanseutu (Kauhajoki)",40,40,35,35,34
"61860  Harja (Kauhajoki)",0,0,0,0,0
"61880  Ikkeläjärvi (Kauhajoki)",3,3,3,3,3
"61910  Nummijärvi (Kauhajoki)",0,0,0,0,0
"61920  Nummikoski (Kauhajoki)",0,0,0,0,0
"61940  Hyyppä (Kauhajoki)",4,4,4,4,4
"61950  Juonikylä (Kauhajoki)",5,5,5,5,5
"61960  Kyrönlatva (Kauhajoki)",0,0,0,0,0
"61980  Päntäne (Kauhajoki)",10,10,10,14,14
"62100  Lapua Keskus (Lapua)",1357,1344,1326,1341,1352
"62130  Hellanmaa (Lapua)",0,0,0,0,0
"62150  Rintakangas (Kauhava)",0,0,0,0,0
"62160  Karhunkylä (Lapua)",0,0,0,0,0
"62165  Tiisteenjoki (Lapua)",0,0,0,0,0
"62170  Lakaluoma (Lapua)",0,0,0,0,0
"62175  Ylikylä-Mäenpää (Lapua)",0,0,0,0,0
"62185  Mäki-Paavola (Lapua)",0,0,0,0,0
"62190  Ruha (Lapua)",2,2,2,0,0
"62200  Kauhava Keskus (Kauhava)",544,543,533,540,558
"62220  Pernaa (Kauhava)",5,5,5,5,5
"62230  Jylhä (Kauhava)",1,1,1,1,1
"62240  Huhmarkoski (Kauhava)",3,3,3,3,3
"62260  Hirvijoki (Kauhava)",0,0,0,0,0
"62280  Mustamaa (Lapua)",0,0,0,0,0
"62290  Hirvikylä (Lapua)",0,0,0,0,0
"62295  Kauhajärvi (Lapua)",0,0,0,0,0
"62300  Härmä (Kauhava)",80,82,77,74,76
"62310  Voltti (Kauhava)",1,1,1,0,0
"62340  Kuoppa-Vakkuri (Kauhava)",0,0,0,0,0
"62350  Ekola (Kauhava)",0,0,0,0,0
"62370  Kangasto (Kauhava)",27,26,26,26,25
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",60,61,61,61,61
"62380  Kosolankylä (Kauhava)",2,2,2,2,2
"62395  Petterinmäki (Vörå)",0,0,0,0,0
"62410  Rintala (Kauhava)",0,0,0,0,0
"62420  Kortesjärvi Keskus (Kauhava)",9,9,10,9,10
"62430  Peltotupa (Kauhava)",0,0,0,0,0
"62435  Pirttinen (Kauhava)",0,0,0,0,0
"62440  Perkiömäki (Kauhava)",0,0,0,0,0
"62470  Purmojärvi (Kauhava)",0,0,0,0,0
"62500  Evijärvi Keskus (Evijärvi)",32,33,29,29,28
"62510  Kuoppa-aho (Evijärvi)",10,10,10,10,10
"62520  Kautiainen (Evijärvi)",0,0,0,0,0
"62540  Vasikka-aho (Evijärvi)",0,0,0,0,0
"62570  Särkilä (Evijärvi)",0,0,0,0,0
"62600  Lappajärvi Keskus (Lappajärvi)",166,165,164,170,173
"62610  Tarvola (Lappajärvi)",0,0,0,0,0
"62620  Ala-Seppä (Lappajärvi)",0,0,0,0,0
"62630  Karvala (Lappajärvi)",0,0,0,0,0
"62640  Savonkylä (Lappajärvi)",0,0,0,0,0
"62660  Itäkylä (Lappajärvi)",9,9,9,9,9
"62710  Kurejoki (Alajärvi)",7,3,3,5,5
"62720  Sissala (Alajärvi)",0,0,0,0,0
"62730  Haukkala (Alajärvi)",0,0,0,0,0
"62740  Koskenvarsi (Alajärvi)",0,0,0,0,0
"62750  Saukonkylä (Alajärvi)",0,0,0,0,0
"62760  Menkijärvi (Alajärvi)",0,0,0,0,0
"62800  Vimpeli Keskus (Vimpeli)",41,41,41,41,41
"62810  Savonjoki (Vimpeli)",0,0,0,0,0
"62830  Luoma-Aho (Alajärvi)",0,0,0,0,0
"62840  Lakaniemi-Pokela (Vimpeli)",0,0,0,0,0
"62860  Sahi (Vimpeli)",4,4,4,4,4
"62870  Vinni (Vimpeli)",0,0,0,0,0
